community,ARAYA,ROJAS,CORTES,CASTILLO,TAPIA,OLIVARES,CARVAJAL,PIZARRO,GONZALEZ,ALFARO,CONTRERAS,DIAZ,BUGUEÃO,RIVERA,MUAOZ,VEGA,GOMEZ,BARRAZA,LOPEZ,ALVAREZ,FLORES,RODRIGUEZ,PEREZ,PASTEN,ZEPEDA,ROBLES,VILLALOBOS,RAMIREZ,ASTUDILLO,GODOY,GALLARDO,CASTRO,AGUIRRE,VICENCIO,PLAZA,VELIZ,ROJO,SEGOVIA,GARCIA,MORALES,MARIN,HIDALGO,MALUENDA,PINTO,RAMOS,VALDIVIA,ANGEL,HENRIQUEZ,TABILO,ARANCIBIA,CAMPOS,PEREIRA,AGUILERA,GUERRERO,ESPINOZA,GALLEGUILLOS,TORRES,ORREGO,LEYTON,JOFRE,TORO,MIRANDA,TELLO,VARAS,NUAEZ,ORTIZ,MICHEA,CHAVEZ,AVALOS,YAAEZ,BARRERA,TOLEDO,CUELLO,COLLAO,LEDEZMA,EGAAA,FERNANDEZ,DELGADO,GUERRA,MOLINA,OSSANDON,TALAMILLA,CERDA,JORQUERA,MUNDACA,PAZ,CALDERON,CARMONA,ECHEVERRIA,MILLA,CAMPILLAY,VALENCIA,IBACACHE,JIMENEZ,VERGARA,CACERES,CAMPUSANO,JAIME,LEIVA
ROMERALCILLO,5,1,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
SALALA,3,14,0,8,1,1,16,0,1,11,19,0,0,0,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN LORENZO,10,0,4,11,3,0,0,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6,0,0,3,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOCOS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALDIVIA DE PUNILLA,1,2,1,0,0,0,2,0,0,2,1,2,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,1,1,0,0,0,1,7,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIVANCO,2,0,5,1,0,1,3,1,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EL DURAZNO,1,3,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,11,0,0
VADO HONDO,5,0,6,0,0,0,0,3,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUALLIGUAICA,0,1,1,0,0,8,0,0,4,0,0,3,2,8,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
CARCAMO,10,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CASTILLO MAL PASO,7,28,13,35,15,10,0,0,0,1,1,8,0,3,0,4,0,0,0,4,0,1,0,0,8,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0,0,1,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EL ESPINAL,5,7,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,1,7,1,1,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,2,0,0
EL POTRERO DE HUATULAME,3,0,4,0,0,1,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
FUNDIDA NORTE,1,5,1,1,0,0,0,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LA RINCONADA DE PUNITAQUI,17,12,9,1,4,0,2,0,0,1,1,1,5,0,1,0,0,0,1,0,5,0,0,0,0,4,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CERRO BLANCO,17,0,13,2,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
